_id,view_rec_1,view_rec_2,view_rec_3,view_rec_4,view_rec_5,view_rec_6,view_rec_7,view_rec_8,view_rec_9,view_rec_10
1,2,3,4,5,6,7,8,9,10,11
2,5,6,7,8,,,,,,
3,2,3,5,9,,,,,,
4,4,8,6,,,,,,,
5,11,13,4,,,,,,,
6,3,12,6,7,8,9,10,11,12,13
7,6,13,,,,,,,,
8,7,14,,,,,,,,
9,8,15,,,,,,,,
10,9,16,,,,,,,,
11,12,17,,,,,,,,
12,4,18,,,,,,,,
13,2,19,,,,,,,,
14,1,20,,,,,,,,
15,6,21,,,,,,,,
16,7,22,,,,,,,,
17,8,3,,,,,,,,
18,2,4,,,,,,,,
19,5,5,,,,,,,,
20,7,6,,,,,,,,
21,6,7,,,,,,,,
22,7,8,,,,,,,,
23,7,9,,,,,,,,
